manufacturing Making*things*on*a*large*scale
neighborhood An*area*you*live*in
occasionally Every*so*often
pennsylvania State*in*the*US*which*borders*Canada
philadelphia City*in*Pennsylvania
relationship Single*or*in*a...
arrangement Arranging*or*being*arranged
explanation Synonym*for*clarification
grandmother Makes*great*cookies!
independent Im*not*dependant*I'm...
mathematics Numbers,*formulas*and*variables
constantly Synonym*for*always
discussion Synonym*for*conversation
mysterious Synonym*for*mystifying
remarkable Synonym*for*outstanding
satellites Broadcasts*TV*and*radio
university A*post*secondary*institution 
essential Synonym*of*crucial
fireplace A*place*you*roast*marshmallows
ourselves Plural*of*ourself
policeman People*who*work*for*the*police*force
practical Synonym*for*logical
satisfied Synonym*for*pleased
contrast Compare*and*________
exchange Synonym*for*trade
floating The*opposite*of*sinking
illinois State*in*the*US*which*borders*lake*Michigan
positive Integers*above*zero
possibly Synonym*for*feasibly
promised Don't*make*one*if*you*can't*keep*one
simplest Another*way*of*saying*"the*most*simple"
attempt Future*tense*of*attempted
grabbed Past*tense*of*grab
happily Shrek*and*Fiona*lived h-
heading A*type*of*html*tag*defined*like*this*<h1>*</h1>
instant Synonym*for*immediate
january A*Month
mission Synonym*for*objective
shake Earthquakes*cause*the*ground*to*_______
shallow Pools*have*a*deep*end*&*a*_______*end
species Lowest*rank*in*Taxonomy
tobacco Causes*lung*Cancer
treated Past*tense*of*treat 
